node_pair,network_relation,city,eyes,bands,contrast
L-PREC→L-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.0044992127066584755
L-PREC→R-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.04972814044201473
L-PREC→L-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.3047296723205392
L-PREC→R-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.19918863762856526
L-PREC→R-PREC,DMN→DMN,Kraków,eyes closed,alpha,-0.3006143821870063
L-PREC→L-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.3723285735034883
L-PREC→R-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.29839098443896583
L-PREC→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.10656030094717442
L-PREC→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,0.0044992127066584755
L-PREC→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.08548504142651103
L-PREC→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.29473853552314444
L-PREC→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.3849406080276326
L-PREC→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.25838189884373586
L-PREC→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.3206553409994734
L-PREC→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,-0.013497638119975426
R-PREC→L-ACC,DMN→SN,Kraków,eyes closed,alpha,0.13947559390641276
R-PREC→R-ACC,DMN→SN,Kraków,eyes closed,alpha,-0.040492914359926274
R-PREC→L-INS,DMN→SN,Kraków,eyes closed,alpha,0.15865644807690413
R-PREC→R-INS,DMN→SN,Kraków,eyes closed,alpha,0.13971239457518422
R-PREC→L-IFG,DMN→DMN,Kraków,eyes closed,alpha,0.2012805684557739
R-PREC→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,-0.1124803176664619
R-PREC→L-mPFC,DMN→DMN,Kraków,eyes closed,alpha,0.01657604681400491
R-PREC→R-mPFC,DMN→DMN,Kraków,eyes closed,alpha,0.1619716574397051
R-PREC→L-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.17097008285302207
R-PREC→R-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.24295748615955767
R-PREC→L-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.07270890843530563
R-PREC→L-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.2560996769510125
R-PREC→R-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.282547215353711
R-PREC→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,0.32366322448323176
R-PREC→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.4459113335773927
R-PREC→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.24295748615955767
R-PREC→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.09409388150451317
R-PREC→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.3047296723205392
R-PREC→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.4365793212686539
R-PREC→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.1444484079506142
R-PREC→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.061653625932651154
L-ANG→L-ACC,DMN→SN,Kraków,eyes closed,alpha,0.18483603075180247
L-ANG→R-ACC,DMN→SN,Kraków,eyes closed,alpha,-0.019982273594789456
L-ANG→L-INS,DMN→SN,Kraków,eyes closed,alpha,0.32441691621695323
L-ANG→R-INS,DMN→SN,Kraków,eyes closed,alpha,-0.09485173220407869
L-ANG→L-IFG,DMN→DMN,Kraków,eyes closed,alpha,0.17484489395440772
L-ANG→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,0.2924488259328009
L-ANG→L-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.034968978790881546
L-ANG→R-mPFC,DMN→DMN,Kraków,eyes closed,alpha,0.07814422069459458
L-ANG→L-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.1753567791675018
L-ANG→R-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.2060165818312039
L-ANG→L-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.03996454718957891
L-ANG→R-PREC,DMN→DMN,Kraków,eyes closed,alpha,-0.2772659589919594
L-ANG→R-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.29529359867855526
L-ANG→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.10348189225314494
L-ANG→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,0.1318274994100693
L-ANG→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.07382339966963881
L-ANG→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.09770324269240473
L-ANG→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.10018889955165268
L-ANG→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.3514675116774037
L-ANG→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.07992909437915782
L-ANG→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.03996454718957891
R-ANG→L-ACC,DMN→SN,Kraków,eyes closed,alpha,0.02497784199348682
R-ANG→R-ACC,DMN→SN,Kraków,eyes closed,alpha,0.0278942469585241
R-ANG→L-INS,DMN→SN,Kraków,eyes closed,alpha,-0.05611666152832495
R-ANG→R-INS,DMN→SN,Kraków,eyes closed,alpha,-0.12488920996743409
R-ANG→L-IFG,DMN→DMN,Kraków,eyes closed,alpha,-0.08436959962244435
R-ANG→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,-0.047457899787624956
R-ANG→L-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.14505008418432533
R-ANG→R-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.04463079513363856
R-ANG→L-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.09991136797394728
R-ANG→R-aSTG,DMN→DMN,Kraków,eyes closed,alpha,-0.029973410392184183
R-ANG→L-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.13947123479262052
R-ANG→R-PREC,DMN→DMN,Kraków,eyes closed,alpha,-0.0557884939170482
R-ANG→L-ANG,DMN→DMN,Kraków,eyes closed,alpha,-0.09491579957524991
R-ANG→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.06393618056830465
R-ANG→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.2847473987257497
R-ANG→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,0.0
R-ANG→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.30125786715206027
R-ANG→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,-0.0044992127066584755
R-ANG→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.17928539919769426
R-ANG→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,-0.09484043965898194
R-ANG→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.07382339966963881
L-SFG→L-ACC,CEN→SN,Kraków,eyes closed,alpha,0.19444605101836132
L-SFG→R-ACC,CEN→SN,Kraków,eyes closed,alpha,-0.18970346440815739
L-SFG→L-INS,CEN→SN,Kraków,eyes closed,alpha,0.13987591516352618
L-SFG→R-INS,CEN→SN,Kraków,eyes closed,alpha,-0.2086738108489731
L-SFG→L-IFG,CEN→DMN,Kraków,eyes closed,alpha,0.0557884939170482
L-SFG→R-IFG,CEN→CEN,Kraków,eyes closed,alpha,0.1740122992212915
L-SFG→L-mPFC,CEN→DMN,Kraków,eyes closed,alpha,-0.13881489957006699
L-SFG→R-mPFC,CEN→DMN,Kraków,eyes closed,alpha,-0.17692208811867885
L-SFG→L-aSTG,CEN→DMN,Kraków,eyes closed,alpha,0.17546929555968052
L-SFG→R-aSTG,CEN→DMN,Kraków,eyes closed,alpha,0.058489765186560176
L-SFG→L-PREC,CEN→DMN,Kraków,eyes closed,alpha,0.005273099976402772
L-SFG→R-PREC,CEN→DMN,Kraków,eyes closed,alpha,0.06748819059987714
L-SFG→L-ANG,CEN→DMN,Kraków,eyes closed,alpha,0.03135304652288389
L-SFG→R-ANG,CEN→DMN,Kraków,eyes closed,alpha,0.07692442360381202
L-SFG→R-SFG,CEN→CEN,Kraków,eyes closed,alpha,-0.04463079513363856
L-SFG→L-pSTG,CEN→CEN,Kraków,eyes closed,alpha,-0.12330725186530231
L-SFG→R-pSTG,CEN→CEN,Kraków,eyes closed,alpha,-0.18896693367965595
L-SFG→L-ITG,CEN→CEN,Kraków,eyes closed,alpha,0.32723847610407153
L-SFG→R-ITG,CEN→CEN,Kraków,eyes closed,alpha,-0.11489807317003937
L-SFG→L-SUP,CEN→CEN,Kraków,eyes closed,alpha,-0.01657604681400491
